log_row,log_esb
2821,"[2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9, 2.9]"
3986,[2.2]
3721,[0.9]
1989,[3.8]
4278,[1.0]
1404,[6.4]
3285,"[1.4, 1.4, 1.4, 1.4, 1.1]"
4389,[4.1]
631,[1.2]
77,[6.5]
4356,[1.4]
4160,[4.3]
3941,[6.7]
1423,[6.5]
2760,[1.5]
660,[1.5]
1507,[2.4]
967,[6.5]
74,[0.7]
340,[6.1]
4103,"[1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 0.9]"
817,"[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]"
895,"[5.6, 5.6, 5.6, 3.6]"
2312,"[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]"
2795,"[4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8, 4.8]"
2055,[0.3]
181,"[2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3, 2.3]"
2229,[1.0]
4533,"[1.3, 1.1]"
3015,[5.2]
969,"[6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 6.7, 5.7]"
3690,"[1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3, 1.3]"
4508,[1.1]
958,"[5.6, 5.6, 5.6, 5.6, 5.6, 3.6]"
2033,[1.0]
1479,[6.6]
1470,"[6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2, 6.2]"
3621,[6.6]
2752,[6.6]
3733,[6.5]
4791,[1.0]
3069,"[3.4, 3.1, 3.4, 3.4, 3.4, 3.4, 3.1, 3.4, 3.4, 3.4]"
1824,[1.4]
1167,[2.1]
3144,"[3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 5.0]"
2139,"[2.1, 2.1, 2.1, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3]"
768,[6.4]
705,[6.7]
1651,"[4.4, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3, 4.3]"
2472,[1.1]
1518,[0.5]
3735,[1.0]
2415,"[4.4, 4.4, 4.4, 4.4, 4.4, 4.4, 4.8, 4.8, 4.4, 4.4]"
4761,[1.0]
1193,"[1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6, 1.6]"
2413,[6.7]
2738,[1.8]
4120,[4.3]
1419,[0.5]
3042,"[1.5, 1.7, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5]"
1248,[0.6]
2708,[5.9]
1967,[0.8]
1858,[4.9]
1629,[2.2]
3175,[1.1]
2872,"[1.9, 1.9, 1.9, 1.9, 2.0, 1.9, 1.7, 1.9, 1.9, 2.0]"
4325,[0.9]
632,"[2.4, 2.4, 2.4, 2.4, 2.4, 2.4, 2.3]"
1775,"[2.5, 2.6, 2.5, 2.4]"
