LAM,D,N_0,N_n,esb,p_id
7.092,27.96,6.454,19,"[6.4606, 4.2372, 3.7769, 3.7856]","[0.299, 0.58114, 0.67616, 0.72392]"
3.297,26.6,17.552,15,"[2.225, 2.1978, 2.4625, 2.776]","[0.67821, 0.80793, 0.8516, 0.87372]"
19.253,25.42,6.273,6,"[0.86834, 1.0875, 1.1271, 1.1305]","[5.5196e-15, 0.00021375, 0.12174, 0.25153]"
12.569,27.96,8.836,17,"[6.3021, 7.2587, 6.5827, 6.2649]","[2.7295e-06, 0.24787, 0.41429, 0.49807]"
9.467,16.94,15.171,12,"[3.8144, 2.4013, 2.2307, 2.2931]","[0.067571, 0.44248, 0.569, 0.63256]"
19.964,18.4,9.632,15,"[5.5973, 6.8224, 7.8508, 8.0092]","[4.012e-16, 1.7269e-05, 0.065997, 0.19589]"
17.764,25.89,13.457,13,"[5.1271, 6.2498, 6.4699, 6.3487]","[1.371e-13, 0.0026181, 0.16898, 0.28653]"
18.616,38.5,18.812,16,"[6.49521, 7.91367, 9.91716, 11.5939]","[1.2494e-14, 0.000369755, 0.126028, 0.247956]"
12.29,36.15,19.018,15,"[6.2892, 7.6596, 7.8067, 8.0672]","[7.7496e-06, 0.26369, 0.42463, 0.50514]"
4.702,22.95,19.448,12,"[2.0674, 1.9447, 2.154, 2.4194]","[0.53897, 0.72369, 0.78574, 0.81709]"
14.944,28.36,12.05,9,"[2.6367, 2.7955, 2.5076, 2.5305]","[8.0971e-10, 0.11036, 0.30775, 0.40685]"
17.858,23.3,5.143,11,"[3.3053, 4.0346, 3.6275, 3.342]","[1.2447e-13, 0.0024755, 0.17051, 0.2905]"
3.62,17.96,19.209,8,"[0.78461, 0.85347, 0.96444, 1.0766]","[0.65507, 0.79905, 0.84855, 0.87424]"
14.936,12.61,16.492,11,"[3.4256, 3.5647, 2.9582, 2.831]","[8.2212e-10, 0.11073, 0.30991, 0.41024]"
15.065,26.31,10.083,18,"[6.4849, 8.2162, 9.0648, 9.063]","[4.4038e-10, 0.096865, 0.29447, 0.39423]"
10.303,33.28,7.966,16,"[6.113, 5.3408, 4.6641, 4.567]","[0.010954, 0.38609, 0.52296, 0.5917]"
18.082,7.24,18.545,6,"[0.79267, 0.99435, 0.95569, 0.96257]","[1.5461e-13, 0.0032674, 0.18332, 0.30637]"
0.299,24.21,19.927,12,"[0.79104, 1.1814, 1.6084, 2.0414]","[0.9791, 0.98927, 0.99252, 0.99412]"
6.643,23.84,13.608,13,"[2.9587, 2.1511, 2.1689, 2.3215]","[0.34742, 0.61136, 0.69974, 0.74419]"
2.048,23.56,17.764,7,"[0.60687, 0.69845, 0.77922, 0.8545]","[0.81064, 0.89433, 0.92444, 0.94044]"
8.489,23.61,5.545,7,"[0.89417, 0.72516, 0.75158, 0.80697]","[0.17959, 0.52118, 0.63638, 0.69488]"
6.157,8.49,17.998,7,"[0.65629, 0.6059, 0.64181, 0.68989]","[0.41615, 0.66438, 0.74892, 0.79234]"
9.334,32.42,14.127,9,"[2.5939, 1.9985, 2.0722, 2.2602]","[0.079786, 0.44515, 0.56758, 0.62914]"
14.343,17.8,8.672,19,"[6.5435, 8.3819, 8.7697, 8.46]","[4.8257e-09, 0.13992, 0.32888, 0.42425]"
15.465,36.24,10.966,12,"[4.7569, 5.5058, 5.1102, 5.0334]","[1.3068e-10, 0.07582, 0.27821, 0.38038]"
4.87,29.77,7.925,10,"[1.1514, 1.0705, 1.1568, 1.2689]","[0.53153, 0.72582, 0.79145, 0.82484]"
17.742,19.26,8.963,14,"[5.1428, 6.2677, 6.2696, 5.8988]","[1.476e-13, 0.0027562, 0.17071, 0.28894]"
9.069,24.65,8.608,7,"[1.0478, 0.83594, 0.87038, 0.9415]","[0.11785, 0.48041, 0.6024, 0.66413]"
17.062,10.08,5.276,8,"[1.4603, 1.7662, 1.5116, 1.4641]","[1.8531e-12, 0.015803, 0.22211, 0.33827]"
5.182,30.96,16.621,17,"[4.7299, 3.7525, 3.8881, 4.2315]","[0.48897, 0.69271, 0.76075, 0.79493]"
4.063,39.49,14.833,6,"[0.88027, 1.091, 1.3296, 1.5664]","[0.59296, 0.75326, 0.80884, 0.83775]"
19.257,39.61,17.812,10,"[4.3408, 5.2968, 5.8713, 6.0804]","[2.332e-15, 8.871e-05, 0.097688, 0.22319]"
14.757,16.59,16.952,13,"[4.89, 5.3848, 4.7111, 4.498]","[1.312e-09, 0.1179, 0.31331, 0.41165]"
14.181,17.64,17.056,17,"[6.344, 7.8856, 7.9513, 7.7486]","[8.4635e-09, 0.15008, 0.33697, 0.43105]"
1.201,13.23,9.796,12,"[0.76177, 0.77447, 0.81352, 0.87634]","[0.89755, 0.94665, 0.96351, 0.97193]"
18.562,8.83,7.911,12,"[3.7945, 4.6376, 4.4498, 4.0334]","[1.7423e-14, 0.00050113, 0.13543, 0.26005]"
17.369,30.34,13.837,11,"[4.2208, 5.1334, 4.9899, 4.9097]","[4.2979e-13, 0.0060499, 0.18858, 0.30324]"
5.636,39.03,16.879,18,"[6.4452, 5.2822, 5.4193, 5.8677]","[0.44271, 0.66345, 0.73702, 0.77392]"
9.144,21.89,18.68,16,"[6.3357, 5.3234, 4.8926, 4.9577]","[0.095108, 0.45506, 0.57578, 0.63628]"
15.608,32.71,12.604,16,"[6.2741, 7.7928, 8.6313, 8.8166]","[7.8178e-11, 0.066045, 0.26893, 0.37192]"
8.449,38.47,12.813,11,"[3.5547, 2.7203, 2.7807, 3.0101]","[0.16534, 0.49701, 0.60769, 0.66327]"
5.911,15.43,14.924,16,"[3.5996, 2.4348, 2.3737, 2.4919]","[0.41967, 0.65607, 0.73541, 0.77533]"
1.356,7.15,11.774,19,"[1.4485, 1.4919, 1.5926, 1.6927]","[0.87611, 0.93082, 0.94981, 0.95973]"
8.698,38.68,18.009,13,"[5.4537, 4.6483, 4.6979, 5.0408]","[0.13895, 0.47917, 0.59241, 0.64916]"
13.779,20.4,14.669,6,"[1.0168, 1.0393, 1.0397, 1.1127]","[5.9164e-08, 0.18977, 0.37281, 0.46495]"
18.208,36.21,11.991,5,"[0.99099, 1.2369, 1.3254, 1.4236]","[3.3981e-14, 0.0010376, 0.1488, 0.26835]"
18.912,9.92,9.746,19,"[6.50447, 7.92434, 9.73274, 10.8637]","[5.70014e-15, 0.000186478, 0.112181, 0.236394]"
1.351,28.41,16.835,16,"[1.5354, 1.7556, 1.9989, 2.2259]","[0.87253, 0.92642, 0.94519, 0.95507]"
14.968,11.63,19.888,7,"[1.3134, 1.4012, 1.3035, 1.3463]","[1.0463e-09, 0.11769, 0.31728, 0.41765]"
4.291,33.95,16.821,11,"[1.9585, 2.0307, 2.3352, 2.6792]","[0.57654, 0.74402, 0.80051, 0.82916]"
14.414,39.38,9.994,9,"[2.8897, 2.9894, 2.7677, 2.8394]","[4.4003e-09, 0.1402, 0.32973, 0.42472]"
9.842,26.85,17.488,17,"[6.6024, 6.8762, 6.4013, 6.4357]","[0.034045, 0.4119, 0.54153, 0.60648]"
4.709,28.09,14.47,16,"[3.2459, 2.631, 2.7589, 3.0124]","[0.53809, 0.72433, 0.78668, 0.81805]"
12.672,19.95,9.823,17,"[6.2289, 6.9837, 6.1449, 5.7553]","[1.867e-06, 0.24196, 0.41015, 0.49495]"
2.122,33.08,10.626,5,"[0.35042, 0.3853, 0.43534, 0.49846]","[0.8154, 0.90343, 0.93366, 0.94857]"
10.525,8.27,14.148,16,"[5.8789, 4.5989, 3.8022, 3.6244]","[0.0055672, 0.37443, 0.51562, 0.58677]"
8.982,30.96,13.526,14,"[5.3706, 3.9856, 3.7556, 3.8834]","[0.11168, 0.46586, 0.58436, 0.64377]"
7.194,33.35,17.783,17,"[6.7767, 5.6134, 5.5177, 5.8247]","[0.28809, 0.57061, 0.66479, 0.71197]"
15.171,11.24,8.436,15,"[5.4686, 6.3194, 5.5326, 5.0751]","[3.303e-10, 0.092474, 0.2933, 0.39509]"
17.736,10.56,12.515,5,"[0.51901, 0.65937, 0.6408, 0.65931]","[6.5322e-13, 0.0093379, 0.21316, 0.33493]"
3.769,26.2,7.135,16,"[2.0336, 1.7332, 1.8189, 1.9667]","[0.63612, 0.78713, 0.83797, 0.86372]"
13.021,24.11,12.763,11,"[3.7285, 3.3158, 2.9201, 2.9086]","[5.9197e-07, 0.22541, 0.39832, 0.48509]"
9.812,16.13,12.356,7,"[1.1012, 0.82981, 0.84668, 0.90632]","[0.04907, 0.43813, 0.57056, 0.63752]"
2.05,18.41,13.637,12,"[0.90633, 0.93791, 1.0021, 1.0651]","[0.81282, 0.89563, 0.92446, 0.93957]"
14.161,37.85,18.55,17,"[6.60444, 8.7534, 10.3044, 11.081]","[8.94389e-09, 0.150594, 0.336076, 0.429017]"
12.76,7.92,6.318,19,"[6.53, 8.0515, 7.4114, 6.8864]","[1.327e-06, 0.23578, 0.40483, 0.49022]"
13.47,36.15,19.201,6,"[1.7955, 1.9374, 2.0702, 2.3004]","[7.5877e-08, 0.18574, 0.36006, 0.44785]"
7.446,10.83,10.635,11,"[1.974, 1.3681, 1.3521, 1.4244]","[0.27271, 0.57232, 0.67304, 0.72385]"
8.527,33.94,13.083,17,"[6.7231, 5.6898, 5.2745, 5.3689]","[0.15573, 0.49176, 0.60422, 0.66057]"
17.314,17.49,9.469,8,"[1.5769, 1.9237, 1.689, 1.6433]","[8.1016e-13, 0.0096285, 0.20659, 0.32364]"
3.522,30.28,11.17,6,"[0.51385, 0.5717, 0.63824, 0.69957]","[0.6703, 0.81204, 0.86189, 0.88833]"
18.214,31.98,7.926,10,"[3.1236, 3.8209, 3.6504, 3.4835]","[4.5302e-14, 0.0011298, 0.15228, 0.27348]"
1.046,36.59,9.933,7,"[0.43948, 0.50797, 0.62162, 0.74955]","[0.91668, 0.958, 0.97115, 0.97751]"
18.569,14.45,8.155,9,"[1.9877, 2.4459, 2.2779, 2.1237]","[2.2742e-14, 0.00065312, 0.1436, 0.26926]"
2.236,34.78,18.951,19,"[3.2062, 3.4752, 4.0485, 4.6728]","[0.77947, 0.86675, 0.89624, 0.91121]"
6.113,25.39,15.802,17,"[5.1016, 3.6392, 3.5732, 3.7787]","[0.397, 0.63888, 0.71977, 0.76037]"
11.769,24.86,9.51,15,"[5.6924, 5.2223, 4.4503, 4.2709]","[5.8155e-05, 0.29817, 0.45483, 0.53362]"
0.595,38.66,5.891,9,"[0.47369, 0.62386, 0.81573, 1.0158]","[0.95804, 0.97883, 0.98534, 0.98852]"
3.016,19.43,11.445,14,"[1.3446, 1.2896, 1.3861, 1.5043]","[0.71407, 0.835, 0.87608, 0.89712]"
7.22,31.31,16.115,19,"[7.4775, 6.2405, 5.9135, 6.102]","[0.28534, 0.56966, 0.66467, 0.71227]"
4.709,24.55,8.774,19,"[3.8665, 2.7219, 2.6915, 2.8426]","[0.53862, 0.72703, 0.79026, 0.82209]"
4.471,29.61,19.35,19,"[5.3452, 4.4194, 4.6514, 5.1047]","[0.55882, 0.73411, 0.79265, 0.82206]"
19.881,5.07,11.156,14,"[4.9764, 6.0705, 6.7422, 6.4571]","[5.1471e-16, 2.1804e-05, 0.07079, 0.20128]"
11.192,17.48,5.681,17,"[6.1714, 5.7806, 4.7768, 4.4709]","[0.00051129, 0.33256, 0.48214, 0.55759]"
11.581,14.67,12.247,8,"[1.569, 1.1869, 1.1345, 1.1812]","[0.00019438, 0.32645, 0.48259, 0.56123]"
15.958,37.36,8.206,7,"[1.5859, 1.8408, 1.7282, 1.7925]","[3.4689e-11, 0.054762, 0.26174, 0.36739]"
16.195,37.14,18.831,6,"[1.8435, 2.2179, 2.2877, 2.4869]","[9.0406e-12, 0.033652, 0.23396, 0.33917]"
15.869,34.97,9.101,14,"[5.5602, 6.6884, 6.5752, 6.4172]","[3.573e-11, 0.053019, 0.25828, 0.36339]"
11.867,10.5,6.594,12,"[3.8256, 2.7728, 2.3413, 2.2848]","[4.5509e-05, 0.29839, 0.45829, 0.5388]"
19.423,18.63,16.049,13,"[5.0002, 6.0991, 6.7405, 6.6599]","[1.623e-15, 6.2209e-05, 0.091152, 0.21908]"
15.507,39.04,18.18,19,"[6.75233, 8.71812, 11.5876, 13.373]","[1.05176e-10, 0.0709449, 0.272082, 0.373801]"
13.568,24.37,5.284,12,"[3.9545, 3.6055, 2.9777, 2.8476]","[8.3347e-08, 0.19302, 0.3747, 0.46616]"
10.229,20.37,14.334,19,"[6.6827, 7.3653, 6.4929, 6.2326]","[0.013308, 0.38889, 0.52459, 0.59285]"
6.551,36.22,11.68,5,"[0.64633, 0.71932, 0.84076, 0.96754]","[0.35621, 0.61399, 0.70222, 0.74764]"
7.205,6.84,9.719,6,"[0.54866, 0.49739, 0.52217, 0.55757]","[0.31779, 0.60929, 0.70872, 0.75989]"
6.313,21.77,9.891,18,"[5.1193, 3.2586, 3.0368, 3.1187]","[0.37772, 0.62974, 0.71445, 0.75704]"
12.177,16.39,9.414,10,"[2.6197, 1.9637, 1.7374, 1.7427]","[1.6128e-05, 0.28355, 0.4476, 0.53013]"
10.071,27.59,19.869,10,"[3.7683, 2.981, 3.0209, 3.2567]","[0.021078, 0.39792, 0.52932, 0.59525]"
19.446,18.24,8.797,16,"[5.9235, 7.2187, 8.3791, 8.688]","[1.4655e-15, 5.6004e-05, 0.088588, 0.21634]"
17.259,11.52,9.5,9,"[1.9639, 2.3829, 2.0155, 1.9084]","[8.7398e-13, 0.0099323, 0.20735, 0.32446]"
19.03,12.55,10.292,9,"[1.9958, 2.4564, 2.3763, 2.2045]","[6.6709e-15, 0.00022915, 0.1213, 0.24987]"
16.795,16.57,14.381,6,"[0.92052, 1.1217, 1.0594, 1.0942]","[4.3897e-12, 0.025566, 0.23586, 0.34879]"
12.212,31.87,14.809,14,"[5.7563, 6.0122, 5.6036, 5.6152]","[1.0653e-05, 0.26974, 0.43046, 0.51098]"
14.397,32.01,7.4,8,"[1.8434, 1.8511, 1.6938, 1.7345]","[5.8894e-09, 0.14787, 0.33939, 0.43556]"
12.142,6.41,8.881,5,"[0.52381, 0.4807, 0.48615, 0.51432]","[6.2066e-05, 0.31887, 0.48536, 0.57013]"
6.93,36.01,10.74,15,"[4.6536, 3.3198, 3.261, 3.4513]","[0.31612, 0.59008, 0.68166, 0.72762]"
8.067,34.89,5.069,7,"[0.95586, 0.82227, 0.87553, 0.95728]","[0.21707, 0.53876, 0.6471, 0.70202]"
19.827,10.46,15.035,16,"[5.9073, 7.1984, 8.3969, 8.7876]","[5.5662e-16, 2.3241e-05, 0.071462, 0.20073]"
14.111,30.47,9.744,9,"[2.5125, 2.4562, 2.2162, 2.2484]","[1.3748e-08, 0.16177, 0.34889, 0.44278]"
12.677,22.43,15.75,9,"[2.6118, 2.2778, 2.1414, 2.2216]","[2.2463e-06, 0.24751, 0.41511, 0.49918]"
13.099,29.53,9.119,6,"[1.0024, 0.98075, 0.99231, 1.0668]","[6.88e-07, 0.23167, 0.40586, 0.4936]"
18.839,22.63,9.384,12,"[4.1512, 5.0705, 5.1493, 4.8197]","[7.9357e-15, 0.00025533, 0.12059, 0.24602]"
2.066,31.18,17.605,10,"[1.1774, 1.4345, 1.7051, 1.9624]","[0.79867, 0.88075, 0.9094, 0.92445]"
9.641,16.07,9.7,13,"[4.2756, 2.5672, 2.2817, 2.2892]","[0.051826, 0.43271, 0.56251, 0.62781]"
17.791,34.15,10.469,18,"[6.56266, 8.00795, 10.1127, 11.3946]","[1.19022e-13, 0.00231579, 0.164834, 0.281778]"
12.49,12.02,19.881,12,"[4.1971, 3.5346, 3.0486, 2.9968]","[4.1196e-06, 0.25744, 0.42389, 0.5075]"
11.35,36.89,13.32,5,"[1.0015, 1.0181, 1.1372, 1.2894]","[0.00026244, 0.31741, 0.4662, 0.54157]"
2.211,22.5,12.331,6,"[0.37398, 0.38634, 0.41578, 0.45945]","[0.81112, 0.90189, 0.93294, 0.9483]"
7.589,32.95,11.812,11,"[2.7481, 2.0861, 2.1459, 2.3261]","[0.25282, 0.55241, 0.65258, 0.70295]"
0.49,39.11,11.974,8,"[0.53078, 0.77596, 1.0494, 1.3277]","[0.96466, 0.98188, 0.98738, 0.99009]"
10.907,7.56,7.549,6,"[0.77255, 0.61738, 0.62281, 0.6597]","[0.0036882, 0.38377, 0.53259, 0.60811]"
16.172,13.95,6.639,10,"[2.5329, 2.892, 2.3346, 2.2019]","[1.9196e-11, 0.044539, 0.25615, 0.36577]"
11.325,29.74,18.524,9,"[3.2068, 2.7462, 2.7667, 2.9751]","[0.00032613, 0.32264, 0.47035, 0.54446]"
4.374,38.9,13.507,19,"[4.8864, 3.9797, 4.1728, 4.5673]","[0.56902, 0.74097, 0.79842, 0.8273]"
18.945,15.82,10.515,19,"[6.53639, 7.96284, 9.8385, 11.1416]","[5.217e-15, 0.000172541, 0.110566, 0.234876]"
13.663,38.13,16.153,15,"[6.231, 7.7169, 8.0431, 8.2601]","[5.1232e-08, 0.18117, 0.36038, 0.45012]"
12.689,38.62,7.804,12,"[4.518, 4.1293, 3.6748, 3.6581]","[1.8955e-06, 0.24348, 0.41138, 0.49558]"
14.645,39.27,17.941,10,"[4.2561, 4.7639, 4.6732, 4.8689]","[1.7852e-09, 0.12258, 0.31341, 0.40891]"
6.53,25.28,11.276,9,"[1.2913, 1.1164, 1.1914, 1.3057]","[0.36527, 0.6251, 0.71247, 0.75668]"
5.631,27.77,16.558,15,"[3.8316, 3.013, 3.1243, 3.4]","[0.44536, 0.66719, 0.74133, 0.77858]"
1.653,21.37,8.074,10,"[0.64523, 0.65584, 0.68365, 0.72438]","[0.85651, 0.92413, 0.94763, 0.9596]"
9.859,19.01,16.793,15,"[5.7901, 4.4812, 3.9819, 3.9704]","[0.033427, 0.41368, 0.54462, 0.61034]"
6.579,35.29,8.664,11,"[2.1038, 1.6817, 1.7594, 1.9176]","[0.35544, 0.61623, 0.70361, 0.74763]"
1.267,23.49,13.091,16,"[1.1847, 1.2469, 1.3292, 1.4079]","[0.88585, 0.93715, 0.95514, 0.96458]"
6.988,10.61,16.727,6,"[0.5614, 0.52112, 0.55368, 0.59624]","[0.33686, 0.61852, 0.71454, 0.76393]"
12.291,7.64,7.482,5,"[0.52293, 0.4845, 0.48912, 0.51719]","[3.5781e-05, 0.30973, 0.47823, 0.56399]"
6.692,35.46,16.668,15,"[5.2744, 4.1993, 4.2826, 4.6253]","[0.33843, 0.60079, 0.68827, 0.73215]"
2.607,23.54,19.568,14,"[1.7329, 1.8686, 2.1434, 2.437]","[0.74712, 0.8498, 0.88464, 0.90243]"
13.497,30.2,8.408,19,"[6.6139, 8.6769, 9.0727, 8.9103]","[9.0942e-08, 0.19078, 0.36855, 0.45807]"
9.73,8.88,9.726,12,"[3.6121, 2.1174, 1.9096, 1.9304]","[0.045625, 0.42984, 0.56121, 0.62733]"
3.126,17.97,10.914,14,"[1.3526, 1.2792, 1.3683, 1.4812]","[0.70346, 0.82893, 0.87153, 0.89334]"
14.575,31.37,8.62,19,"[6.6217, 8.6295, 9.7913, 9.9506]","[2.2007e-09, 0.12577, 0.31716, 0.41355]"
14.891,37.36,6.788,10,"[3.1666, 3.334, 2.914, 2.8836]","[9.384e-10, 0.11285, 0.31002, 0.40905]"
6.405,20.54,10.881,13,"[2.51, 1.7924, 1.7912, 1.9019]","[0.37314, 0.62946, 0.71548, 0.75881]"
19.058,28.51,11.59,14,"[5.5623, 6.781, 7.673, 7.8472]","[4.058e-15, 0.00014002, 0.10708, 0.23263]"
8.831,8.76,9.459,13,"[3.7868, 2.2401, 2.0388, 2.0694]","[0.12938, 0.48304, 0.60224, 0.66222]"
18.724,33.93,8.04,16,"[6.1564, 7.5026, 8.8791, 9.498]","[9.54e-15, 0.0002933, 0.12171, 0.24498]"
15.423,24.54,16.85,5,"[0.92127, 1.0866, 1.1286, 1.235]","[1.4815e-10, 0.080856, 0.2819, 0.38374]"
6.26,28.99,8.093,10,"[1.4622, 1.2211, 1.2861, 1.3993]","[0.39156, 0.64128, 0.72521, 0.76764]"
9.098,17.24,7.337,8,"[1.2693, 0.9153, 0.91859, 0.97358]","[0.11449, 0.48089, 0.60424, 0.66661]"
8.105,26.18,16.919,8,"[1.6995, 1.4773, 1.6053, 1.7904]","[0.20174, 0.51956, 0.62611, 0.67987]"
9.235,30.59,7.243,7,"[1.1296, 0.90413, 0.94635, 1.0288]","[0.099442, 0.46702, 0.59065, 0.65314]"
2.125,34.86,19.449,11,"[1.6749, 2.1047, 2.5767, 3.0433]","[0.78741, 0.87117, 0.90014, 0.91518]"
5.485,33.79,5.57,5,"[0.40766, 0.42349, 0.46164, 0.50007]","[0.48694, 0.70792, 0.7847, 0.82498]"
16.016,38.54,14.879,10,"[3.9889, 4.7015, 4.4974, 4.5795]","[2.2878e-11, 0.046293, 0.2508, 0.35574]"
19.781,5.14,19.571,11,"[3.2026, 3.9198, 4.085, 3.7091]","[7.7712e-16, 3.2569e-05, 0.07981, 0.21149]"
6.59,14.78,15.945,12,"[2.2095, 1.6227, 1.6397, 1.7505]","[0.35568, 0.61922, 0.70765, 0.75221]"
15.287,10.29,19.705,17,"[6.2538, 7.7257, 7.9815, 7.7197]","[2.1754e-10, 0.084291, 0.28484, 0.38641]"
7.145,13.05,9.994,11,"[1.864, 1.3279, 1.3236, 1.3993]","[0.30316, 0.59066, 0.68732, 0.73611]"
17.141,35.87,16.235,6,"[1.6373, 2.0091, 2.059, 2.2042]","[6.2649e-13, 0.0084348, 0.19404, 0.30579]"
2.449,39.26,13.642,8,"[0.94269, 1.1588, 1.3809, 1.5897]","[0.76062, 0.85822, 0.89247, 0.91055]"
5.588,7.48,13.733,9,"[0.94044, 0.83244, 0.87565, 0.94172]","[0.46612, 0.69116, 0.76738, 0.80628]"
14.661,13.7,6.269,19,"[6.5198, 8.2947, 8.7287, 8.3922]","[1.6601e-09, 0.12086, 0.3139, 0.41143]"
19.629,36.81,9.832,19,"[6.66425, 8.11522, 10.0968, 12.289]","[8.82915e-16, 3.52066e-05, 0.0789217, 0.206339]"
19.868,32.78,18.151,7,"[2.2496, 2.7595, 3.068, 3.1636]","[4.4028e-16, 2.1041e-05, 0.070146, 0.198]"
1.001,14.09,8.705,6,"[0.29272, 0.37699, 0.48939, 0.60746]","[0.92897, 0.96427, 0.9753, 0.98067]"
16.381,7.32,9.888,12,"[3.8019, 4.4596, 3.6549, 3.3489]","[8.5889e-12, 0.031973, 0.24041, 0.35091]"
6.933,29.72,15.364,18,"[6.6798, 5.0557, 4.8186, 5.0078]","[0.31434, 0.58784, 0.67926, 0.72508]"
18.063,28.54,9.683,7,"[1.4453, 1.7858, 1.7332, 1.7431]","[8.4581e-14, 0.0019783, 0.16597, 0.28626]"
18.29,21.22,12.429,8,"[1.8336, 2.2576, 2.1573, 2.1059]","[4.4397e-14, 0.001155, 0.15435, 0.27655]"
6.928,6.49,8.951,7,"[0.70542, 0.62202, 0.65207, 0.69878]","[0.33933, 0.619, 0.71392, 0.76249]"
14.441,28.96,9.684,13,"[4.9247, 5.3225, 4.6608, 4.4715]","[3.7577e-09, 0.13688, 0.32816, 0.42433]"
12.048,25.87,12.418,14,"[5.442, 5.0668, 4.4383, 4.3372]","[2.0257e-05, 0.2812, 0.44095, 0.52115]"
18.608,32.9,17.308,17,"[6.55222, 7.98323, 10.0506, 11.7621]","[1.27476e-14, 0.000375374, 0.126317, 0.248267]"
17.117,28.25,19.831,12,"[5.1673, 6.2889, 6.6049, 6.748]","[8.4132e-13, 0.0093142, 0.19839, 0.31081]"
7.831,38.72,13.112,19,"[7.5519, 6.8754, 6.4698, 6.6163]","[0.22448, 0.53268, 0.63571, 0.68733]"
5.97,7.67,6.445,15,"[2.9676, 2.0126, 1.966, 2.0612]","[0.41549, 0.65529, 0.73588, 0.77649]"
3.875,37.17,8.101,17,"[2.7128, 2.3024, 2.4403, 2.6692]","[0.62231, 0.77622, 0.82786, 0.85391]"
19.343,31.12,8.595,12,"[4.435, 5.4138, 5.8106, 5.6086]","[2.0574e-15, 7.7569e-05, 0.095881, 0.22364]"
7.207,17.11,13.127,12,"[2.472, 1.7117, 1.6943, 1.7918]","[0.29366, 0.58208, 0.67886, 0.7276]"
12.466,6.62,7.984,16,"[5.8631, 5.8124, 4.8104, 4.4599]","[4.1063e-06, 0.25571, 0.4221, 0.50608]"
14.459,31.1,18.334,5,"[1.1629, 1.3354, 1.4379, 1.6048]","[2.2557e-09, 0.12704, 0.31481, 0.40962]"
12.248,34.24,17.473,18,"[6.66781, 9.10741, 9.79034, 10.1166]","[8.96438e-06, 0.265822, 0.426547, 0.507087]"
9.142,31.59,9.707,19,"[7.0114, 6.707, 5.9143, 5.7806]","[0.094803, 0.45475, 0.57605, 0.63697]"
1.825,19.28,8.12,12,"[0.84911, 0.87136, 0.91744, 0.96421]","[0.83603, 0.91014, 0.93604, 0.94959]"
6.323,8.01,12.862,5,"[0.36969, 0.35484, 0.37074, 0.39006]","[0.41563, 0.67313, 0.76236, 0.80894]"
7.109,38.27,16.691,13,"[4.5048, 3.6972, 3.8545, 4.2144]","[0.29692, 0.57478, 0.66744, 0.71396]"
14.116,33.3,9.549,18,"[6.5374, 8.4424, 9.076, 9.0802]","[1.0477e-08, 0.15357, 0.33923, 0.43263]"
16.285,19.97,14.11,9,"[2.4179, 2.817, 2.4412, 2.3991]","[1.2727e-11, 0.038197, 0.24696, 0.35565]"
3.264,11.81,5.884,8,"[0.57839, 0.58227, 0.61389, 0.647]","[0.70246, 0.83491, 0.88101, 0.90514]"
10.097,25.41,12.165,15,"[5.782, 4.5546, 4.0159, 3.9828]","[0.019385, 0.39936, 0.53355, 0.60091]"
13.382,20.04,8.057,5,"[0.56239, 0.56813, 0.57384, 0.61095]","[5.2353e-07, 0.23505, 0.41656, 0.50852]"
19.45,19.25,9.64,13,"[4.6485, 5.6733, 6.1055, 5.7885]","[1.5645e-15, 6.0208e-05, 0.090878, 0.21964]"
19.552,29.02,17.184,13,"[5.5038, 6.7082, 7.7382, 8.1805]","[1.1209e-15, 4.4523e-05, 0.084103, 0.21181]"
1.771,19.89,5.319,16,"[1.2506, 1.2757, 1.3648, 1.4563]","[0.83699, 0.90837, 0.93304, 0.9459]"
11.334,20.78,18.702,17,"[6.4375, 7.385, 6.8666, 6.7545]","[0.00029528, 0.32202, 0.47158, 0.54664]"
17.976,32.96,6.984,19,"[6.60829, 8.05954, 10.2249, 11.5828]","[7.09993e-14, 0.00154701, 0.155981, 0.274139]"
12.204,17.63,17.902,19,"[6.6391, 8.6387, 8.4832, 8.253]","[1.0602e-05, 0.26888, 0.42989, 0.51089]"
3.108,19.44,8.84,6,"[0.37475, 0.37516, 0.38887, 0.40932]","[0.72756, 0.8551, 0.89955, 0.92234]"
11.929,30.11,19.609,11,"[4.594, 4.3137, 4.1866, 4.3811]","[3.1766e-05, 0.28629, 0.4421, 0.5201]"
16.718,37.32,18.939,8,"[3.0432, 3.6748, 3.6591, 3.8385]","[2.4485e-12, 0.017905, 0.21475, 0.3235]"
9.868,11.11,14.784,8,"[1.4485, 1.0018, 0.99297, 1.0487]","[0.042117, 0.43247, 0.56588, 0.63321]"
3.041,34.88,6.285,7,"[0.52996, 0.56266, 0.60708, 0.64909]","[0.72199, 0.84513, 0.88839, 0.91123]"
14.293,24.59,8.254,6,"[0.89102, 0.9258, 0.90153, 0.94983]","[1.3034e-08, 0.16568, 0.35735, 0.4539]"
14.95,30.42,9.714,16,"[6.1376, 7.5121, 7.5972, 7.4185]","[6.5162e-10, 0.10425, 0.30091, 0.40004]"
3.091,5.64,16.631,15,"[1.4923, 1.3872, 1.4778, 1.5979]","[0.70607, 0.83018, 0.87225, 0.89374]"
3.287,16.38,12.605,6,"[0.38898, 0.39281, 0.4091, 0.42971]","[0.70859, 0.8432, 0.89033, 0.91475]"
