LAM,D,N_0,N_n,esb,p_id
17.545,9.02,19.077,16,"[5.9524, 7.2597, 7.9651, 7.8513]","[2.4538e-13, 0.0039839, 0.17816, 0.29451]"
9.176,38.38,13.185,17,"[6.7821, 6.6048, 6.2014, 6.3074]","[0.09165, 0.45192, 0.57261, 0.63305]"
19.565,31.31,9.307,11,"[3.8906, 4.7531, 5.0873, 4.8866]","[1.196e-15, 4.8102e-05, 0.086573, 0.2155]"
13.319,31.29,9.451,12,"[4.4038, 4.1895, 3.6558, 3.5892]","[1.9205e-07, 0.20581, 0.38243, 0.47108]"
1.005,36.43,19.432,18,"[2.3561, 2.9842, 3.609, 4.1966]","[0.90101, 0.94102, 0.95506, 0.96247]"
13.598,17.86,12.034,7,"[1.2189, 1.156, 1.0979, 1.1427]","[1.2385e-07, 0.20441, 0.38693, 0.47877]"
16.613,39.44,12.713,9,"[3.1913, 3.8241, 3.6119, 3.6676]","[3.8511e-12, 0.022391, 0.22382, 0.33283]"
7.566,9.0,17.745,14,"[3.6487, 2.2661, 2.1257, 2.1898]","[0.2553, 0.55835, 0.66027, 0.71155]"
1.362,14.27,9.342,17,"[1.2484, 1.289, 1.367, 1.4436]","[0.87678, 0.93189, 0.95111, 0.96118]"
3.207,12.4,7.631,16,"[1.7136, 1.5441, 1.6355, 1.7677]","[0.69338, 0.82212, 0.86564, 0.8878]"
7.394,19.06,7.186,12,"[2.4277, 1.6214, 1.5815, 1.6578]","[0.27573, 0.57275, 0.67256, 0.72286]"
3.911,11.44,10.71,16,"[2.0374, 1.693, 1.7591, 1.8909]","[0.62245, 0.77953, 0.83243, 0.85922]"
17.993,29.11,8.611,12,"[4.3364, 5.2901, 5.1725, 4.9085]","[7.6465e-14, 0.0016797, 0.16007, 0.27973]"
9.346,39.31,7.401,16,"[6.1974, 4.9818, 4.4659, 4.4668]","[0.075957, 0.44375, 0.56766, 0.62983]"
17.227,22.64,11.112,8,"[1.7981, 2.1887, 1.9652, 1.9392]","[8.8918e-13, 0.010162, 0.2057, 0.32098]"
14.39,11.56,6.115,7,"[1.0711, 1.0625, 0.97212, 0.99122]","[9.956e-09, 0.16213, 0.35741, 0.45581]"
2.007,38.52,11.603,11,"[1.0966, 1.2658, 1.4549, 1.6331]","[0.80903, 0.88897, 0.91681, 0.93144]"
9.781,7.73,9.496,16,"[5.8515, 4.1205, 3.4549, 3.3381]","[0.03903, 0.42009, 0.55153, 0.61772]"
3.3,34.04,13.632,16,"[2.4453, 2.3533, 2.6136, 2.9333]","[0.67786, 0.80781, 0.85151, 0.87361]"
3.47,29.29,9.139,17,"[2.2555, 1.9758, 2.1009, 2.2921]","[0.6642, 0.80262, 0.84917, 0.87273]"
